year,map,url
2024,eindhoven1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/eindhoven1/eindhoven1.7z
2024,kobe1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/kobe1/kobe1.7z
2024,vc1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/vc1/vc1.7z
2024,ny1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/ny1/ny1.7z
2024,joao1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/joao1/joao1.7z
2024,sydney1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/sydney1/sydney1.7z
2024,eindhoven2,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/eindhoven2/eindhoven2.7z
2024,montreal1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/montreal1/montreal1.7z
2024,istanbul1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/istanbul1/istanbul1.7z
2024,paris1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/paris1/paris1.7z
2024,sf1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/sf1/sf1.7z
2024,kobe2,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/kobe2/kobe2.7z
2024,eindhoven3,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/eindhoven3/eindhoven3.7z
2024,vc2,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/vc2/vc2.7z
2024,bordeaux1,https://cdn.robocup.org/rsim/public/competitions/2024-RSL/info/agent/results/bordeaux1/bordeaux1.7z
